icdv ; dx ; chapter ; subchapter ; code_range_start ; code_range_end ; pattern            ; description
10   ; 1  ;         ; B00-B09    ; B00              ; B09            ; ^B0                ; B00-B09 Viral infections characterized by skin and mucous membrane lesions
10   ; 1  ;         ; B10-B10    ; B10              ; B10            ; ^B10               ; B10 Other human herpesviruses
10   ; 1  ;         ; B15-B19    ; B15              ; B19            ; ^B1[1-9]           ; B15-B19 Viral hepatitis
10   ; 1  ;         ; B20-B24    ; B20              ; B24            ; ^B2[0-4]           ; B20-B24 Human immunodeficiency virus [HIV] disease
10   ; 1  ;         ; B25-B34    ; B25              ; B34            ; ^B(2[5-9]|3[0-4])  ; B25-B34 Other viral diseases
10   ; 1  ;         ; B35-B49    ; B35              ; B49            ; ^B(3[5-9]|4)       ; B35-B49 Mycoses
10   ; 1  ;         ; B50-B64    ; B50              ; B64            ; ^B(5|6[0-4])       ; B50-B64 Protozoal diseases
10   ; 1  ;         ; B65-B83    ; B65              ; B83            ; ^B(6[5-9]|7|8[0-3]); B65-B83 Helminthiases
10   ; 1  ;         ; B85-B89    ; B85              ; B89            ; ^B8[5-9]           ; B85-B89 Pediculosis, acariasis and other infestations
10   ; 1  ;         ; B90-B94    ; B90              ; B94            ; ^B9[0-4]           ; B90-B94 Sequelae of infectious and parasitic diseases
10   ; 1  ;         ; B95-B98    ; B95              ; B98            ; ^B9[5-8]           ; B95-B98 Bacterial, viral and other infectious agents
10   ; 1  ;         ; B99-B99    ; B99              ; B99            ; ^B99               ; B99-B99 Other infectious diseases
10   ; 1  ; II      ;            ; C00              ; D48            ; ^(C|D[0-4])        ; II: Neoplasms
10   ; 1  ;         ; C00-C14    ; C00              ; C14            ; ^C(0|1[0-4])       ; C00-C14 Malignant neoplasms of lip, oral cavity and pharynx
10   ; 1  ;         ; C15-C26    ; C15              ; C26            ; ^C(1[5-9]|2[0-6])  ; C15-C26 Malignant neoplasms of digestive organs
10   ; 1  ;         ; C30-C39    ; C30              ; C39            ; ^C3                ; C30-C39 Malignant neoplasms of respiratory and intrathoracic organs
10   ; 1  ;         ; C40-C41    ; C40              ; C41            ; ^C4[0-1]           ; C40-C41 Malignant neoplasms of bone and articular cartilage
10   ; 1  ;         ; C43-C44    ; C43              ; C44            ; ^C4[3-4]           ; C43-C44 Melanoma and other malignant neoplasms of skin
10   ; 1  ;         ; C45-C49    ; C45              ; C49            ; ^C4[5-9]           ; C45-C49 Malignant neoplasms of mesothelial and soft tissue
10   ; 1  ;         ; C50-C50    ; C50              ; C50            ; ^C50               ; C50-C50 Malignant neoplasm of breast
10   ; 1  ;         ; C51-C58    ; C51              ; C58            ; ^C5[1-8]           ; C51-C58 Malignant neoplasms of female genital organs
10   ; 1  ;         ; C60-C63    ; C60              ; C63            ; ^C6[0-3]           ; C60-C63 Malignant neoplasms of male genital organs
10   ; 1  ;         ; C64-C68    ; C64              ; C68            ; ^C6[4-8]           ; C64-C68 Malignant neoplasms of urinary tract
10   ; 1  ;         ; C69-C72    ; C69              ; C72            ; ^C(69|7[0-2])      ; C69-C72 Malignant neoplasms of eye, brain and other parts of central nervous system
10   ; 1  ;         ; C73-C75    ; C73              ; C75            ; ^C7[3-5]           ; C73-C75 Malignant neoplasms of thyroid and other endocrine glands
10   ; 1  ;         ; C76-C80    ; C76              ; C80            ; ^C(7[6-9]|80)      ; C76-C80 Malignant neoplasms of ill-defined, secondary and unspecified sites
10   ; 1  ;         ; C81-C96    ; C81              ; C96            ; ^C(8[1-9]|9[0-6])  ; C81-C96 Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue
10   ; 1  ;         ; C97-C97    ; C97              ; C97            ; ^C97               ; C97-C97 Malignant neoplasms of independent (primary) multiple sites
10   ; 1  ;         ; D00-D09    ; D00              ; D09            ; ^D0                ; D00-D09 In situ neoplasms
10   ; 1  ;         ; D10-D36    ; D10              ; D36            ; ^D([1-2]|3[0-6])   ; D10-D36 Benign neoplasms
10   ; 1  ;         ; D37-D48    ; D37              ; D48            ; ^D(3[7-9]|4[0-8])  ; D37-D48 Neoplasms of uncertain or unknown behaviour
10   ; 1  ; III     ;            ; D50              ; D89            ; ^D[5-9]            ; III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
10   ; 1  ;         ; D50-D53    ; D50              ; D53            ; ^D5[0-3]           ; D50-D53 Nutritional anaemias
10   ; 1  ;         ; D55-D59    ; D55              ; D59            ; ^D5[5-9]           ; D55-D59 Haemolytic anaemias
10   ; 1  ;         ; D60-D64    ; D60              ; D64            ; ^D6[0-4]           ; D60-D64 Aplastic and other anaemias
10   ; 1  ;         ; D65-D69    ; D65              ; D69            ; ^D6[5-9]           ; D65-D69 Coagulation defects, purpura and other haemorrhagic conditions
10   ; 1  ;         ; D70-D77    ; D70              ; D77            ; ^D7[0-7]           ; D70-D77 Other diseases of blood and blood-forming organs
10   ; 1  ;         ; D80-D89    ; D80              ; D89            ; ^D8                ; D80-D89 Certain disorders involving the immune mechanism
10   ; 1  ; IV      ;            ; E00              ; E90            ; ^E                 ; IV: Endocrine, nutritional and metabolic diseases
10   ; 1  ;         ; E00-E07    ; E00              ; E07            ; ^E0[0-7]           ; E00-E07 Disorders of thyroid gland
10   ; 1  ;         ; E10-E14    ; E10              ; E14            ; ^E1[0-4]           ; E10-E14 Diabetes mellitus
10   ; 1  ;         ; E15-E16    ; E15              ; E16            ; ^E1[5-6]           ; E15-E16 Other disorders of glucose regulation and pancreatic internal secretion
10   ; 1  ;         ; E20-E35    ; E20              ; E35            ; ^E(2|3[0-5])       ; E20-E35 Disorders of other endocrine glands
10   ; 1  ;         ; E40-E46    ; E40              ; E46            ; ^E4[0-6]           ; E40-E46 Malnutrition
10   ; 1  ;         ; E50-E64    ; E50              ; E64            ; ^E(5|6[0-4])       ; E50-E64 Other nutritional deficiencies
10   ; 1  ;         ; E65-E68    ; E65              ; E68            ; ^E6[5-8]           ; E65-E68 Obesity and other hyperalimentation
10   ; 1  ;         ; E70-E90    ; E70              ; E90            ; ^E[7-9]            ; E70-E90 Metabolic disorders
10   ; 1  ; V       ;            ; F00              ; F99            ; ^F                 ; V: Mental and behavioural disorders
10   ; 1  ;         ; F00-F09    ; F00              ; F09            ; ^F0                ; F00-F09 Organic, including symptomatic, mental disorders
10   ; 1  ;         ; F10-F19    ; F10              ; F19            ; ^F1                ; F10-F19 Mental and behavioural disorders due to psychoactive substance use
10   ; 1  ;         ; F20-F29    ; F20              ; F29            ; ^F2                ; F20-F29 Schizophrenia, schizotypal and delusional disorders
10   ; 1  ;         ; F30-F39    ; F30              ; F39            ; ^F3                ; F30-F39 Mood [affective] disorders
10   ; 1  ;         ; F40-F48    ; F40              ; F48            ; ^F4                ; F40-F48 Neurotic, stress-related and somatoform disorders
10   ; 1  ;         ; F50-F59    ; F50              ; F59            ; ^F5                ; F50-F59 Behavioural syndromes associated with physiological disturbances and physical factors
10   ; 1  ;         ; F60-F69    ; F60              ; F69            ; ^F6                ; F60-F69 Disorders of adult personality and behaviour
10   ; 1  ;         ; F70-F79    ; F70              ; F79            ; ^F7                ; F70-F79 Mental retardation
10   ; 1  ;         ; F80-F89    ; F80              ; F89            ; ^F8                ; F80-F89 Disorders of psychological development
10   ; 1  ;         ; F90-F98    ; F90              ; F98            ; ^F9[0-8]           ; F90-F98 Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
10   ; 1  ;         ; F99-F99    ; F99              ; F99            ; ^F99               ; F99-F99 Unspecified mental disorder
10   ; 1  ; VI      ;            ; G00              ; G99            ; ^G                 ; VI: Diseases of the nervous system
10   ; 1  ;         ; G00-G09    ; G00              ; G09            ; ^G0                ; G00-G09 Inflammatory diseases of the central nervous system
10   ; 1  ;         ; G10-G14    ; G10              ; G14            ; ^G1                ; G10-G14 Systemic atrophies primarily affecting the central nervous system
10   ; 1  ;         ; G20-G26    ; G20              ; G26            ; ^G2                ; G20-G26 Extrapyramidal and movement disorders
10   ; 1  ;         ; G30-G32    ; G30              ; G32            ; ^G3[0-2]           ; G30-G32 Other degenerative diseases of the nervous system
10   ; 1  ;         ; G35-G37    ; G35              ; G37            ; ^G3[5-7]           ; G35-G37 Demyelinating diseases of the central nervous system
10   ; 1  ;         ; G40-G47    ; G40              ; G47            ; ^G4                ; G40-G47 Episodic and paroxysmal disorders
10   ; 1  ;         ; G50-G59    ; G50              ; G59            ; ^G5                ; G50-G59 Nerve, nerve root and plexus disorders
10   ; 1  ;         ; G60-G64    ; G60              ; G64            ; ^G6                ; G60-G64 Polyneuropathies and other disorders of the peripheral nervous system
10   ; 1  ;         ; G70-G73    ; G70              ; G73            ; ^G7                ; G70-G73 Diseases of myoneural junction and muscle
10   ; 1  ;         ; G80-G83    ; G80              ; G83            ; ^G8                ; G80-G83 Cerebral palsy and other paralytic syndromes
10   ; 1  ;         ; G90-G99    ; G90              ; G99            ; ^G9                ; G90-G99 Other disorders of the nervous system
10   ; 1  ; VII     ;            ; H00              ; H59            ; ^H[0-5]            ; VII: Diseases of the eye and adnexa
10   ; 1  ;         ; H00-H06    ; H00              ; H06            ; ^H0                ; H00-H06 Disorders of eyelid, lacrimal system and orbit
10   ; 1  ;         ; H10-H13    ; H10              ; H13            ; ^H1[0-3]           ; H10-H13 Disorders of conjunctiva
10   ; 1  ;         ; H15-H22    ; H15              ; H22            ; ^H(1[5-9]|2[0-2])  ; H15-H22 Disorders of sclera, cornea, iris and ciliary body
10   ; 1  ;         ; H25-H28    ; H25              ; H28            ; ^H2[5-8]           ; H25-H28 Disorders of lens
10   ; 1  ;         ; H30-H36    ; H30              ; H36            ; ^H3                ; H30-H36 Disorders of choroid and retina
10   ; 1  ;         ; H40-H42    ; H40              ; H42            ; ^H4[0-2]           ; H40-H42 Glaucoma
10   ; 1  ;         ; H43-H45    ; H43              ; H45            ; ^H4[3-5]           ; H43-H45 Disorders of vitreous body and globe
10   ; 1  ;         ; H46-H48    ; H46              ; H48            ; ^H4[6-8]           ; H46-H48 Disorders of optic nerve and visual pathways
10   ; 1  ;         ; H49-H52    ; H49              ; H52            ; ^H(49|5[0-2])      ; H49-H52 Disorders of ocular muscles, binocular movement, accommodation and refraction
10   ; 1  ;         ; H53-H54    ; H53              ; H54            ; ^H5[3-4]           ; H53-H54 Visual disturbances and blindness
10   ; 1  ;         ; H55-H59    ; H55              ; H59            ; ^H5[5-9]           ; H55-H59 Other disorders of eye and adnexa
10   ; 1  ; VIII    ;            ; H60              ; H95            ; ^H[6-9]            ; VIII: Diseases of the ear and mastoid 0 ocess
10   ; 1  ;         ; H60-H62    ; H60              ; H62            ; ^H6[0-2]           ; H60-H62 Diseases of external ear
10   ; 1  ;         ; H65-H75    ; H65              ; H75            ; ^H(6[5-9]|7)       ; H65-H75 Diseases of middle ear and mastoid
10   ; 1  ;         ; H80-H83    ; H80              ; H83            ; ^H8                ; H80-H83 Diseases of inner ear
10   ; 1  ;         ; H90-H95    ; H90              ; H95            ; ^H9                ; H90-H95 Other disorders of ear
10   ; 1  ; IX      ;            ; I00              ; I99            ; ^I                 ; IX: Diseases of the circulatory system
10   ; 1  ;         ; I00-I02    ; I00              ; I02            ; ^I0[0-2]           ; I00-I02 Acute rheumatic fever
10   ; 1  ;         ; I05-I09    ; I05              ; I09            ; ^I0[5-9]           ; I05-I09 Chronic rheumatic heart diseases
10   ; 1  ;         ; I10-I15    ; I10              ; I15            ; ^I1                ; I10-I15 Hypertensive diseases
10   ; 1  ;         ; I20-I25    ; I20              ; I25            ; ^I2[0-5]           ; I20-I25 Ischaemic heart diseases
10   ; 1  ;         ; I26-I28    ; I26              ; I28            ; ^I2[6-8]           ; I26-I28 Pulmonary heart disease and diseases of pulmonary circulation
10   ; 1  ;         ; I30-I52    ; I30              ; I52            ; ^I(3|4|5[0-2])     ; I30-I52 Other forms of heart disease
10   ; 1  ;         ; I60-I69    ; I60              ; I69            ; ^I6                ; I60-I69 Cerebrovascular diseases
10   ; 1  ;         ; I70-I79    ; I70              ; I79            ; ^I7                ; I70-I79 Diseases of arteries, arterioles and capillaries
10   ; 1  ;         ; I80-I89    ; I80              ; I89            ; ^I8                ; I80-I89 Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified
10   ; 1  ;         ; I95-I99    ; I95              ; I99            ; ^I9                ; I95-I99 Other and unspecified disorders of the circulatory system
10   ; 1  ; X       ;            ; J00              ; J99            ; ^J                 ; X: Diseases of the respiratory system
10   ; 1  ;         ; J00-J06    ; J00              ; J06            ; ^J0[0-6]           ; J00-J06 Acute upper respiratory infections
10   ; 1  ;         ; J09-J18    ; J09              ; J18            ; ^J(09|1)           ; J09-J18 Influenza and pneumonia
10   ; 1  ;         ; J20-J22    ; J20              ; J22            ; ^J2                ; J20-J22 Other acute lower respiratory infections
10   ; 1  ;         ; J30-J39    ; J30              ; J39            ; ^J3                ; J30-J39 Other diseases of upper respiratory tract
10   ; 1  ;         ; J40-J47    ; J40              ; J47            ; ^J4                ; J40-J47 Chronic lower respiratory diseases
10   ; 1  ;         ; J60-J70    ; J60              ; J70            ; ^J(6|70)           ; J60-J70 Lung diseases due to external agents
10   ; 1  ;         ; J80-J84    ; J80              ; J84            ; ^J8[0-4]           ; J80-J84 Other respiratory diseases principally affecting the interstitium
10   ; 1  ;         ; J85-J86    ; J85              ; J86            ; ^J8[5-6]           ; J85-J86 Suppurative and necrotic conditions of lower respiratory tract
10   ; 1  ;         ; J90-J94    ; J90              ; J94            ; ^J9[0-4]           ; J90-J94 Other diseases of pleura
10   ; 1  ;         ; J95-J99    ; J95              ; J99            ; ^J9[5-9]           ; J95-J99 Other diseases of the respiratory system
10   ; 1  ; XI      ;            ; K00              ; K93            ; ^K                 ; XI: Diseases of the digestive system
10   ; 1  ;         ; K00-K14    ; K00              ; K14            ; ^K(0|1[0-4])       ; K00-K14 Diseases of oral cavity, salivary glands and jaws
10   ; 1  ;         ; K20-K31    ; K20              ; K31            ; ^K(2|3[0-1])       ; K20-K31 Diseases of oesophagus, stomach and duodenum
10   ; 1  ;         ; K35-K38    ; K35              ; K38            ; ^K3[5-8]           ; K35-K38 Diseases of appendix
10   ; 1  ;         ; K40-K46    ; K40              ; K46            ; ^K4                ; K40-K46 Hernia
10   ; 1  ;         ; K50-K52    ; K50              ; K52            ; ^K5[0-2]           ; K50-K52 Noninfective enteritis and colitis
10   ; 1  ;         ; K55-K64    ; K55              ; K64            ; ^K(5[5-9]|6[0-4])  ; K55-K64 Other diseases of intestines
10   ; 1  ;         ; K65-K67    ; K65              ; K67            ; ^K6[5-7]           ; K65-K67 Diseases of peritoneum
10   ; 1  ;         ; K70-K77    ; K70              ; K77            ; ^K7                ; K70-K77 Diseases of liver
10   ; 1  ;         ; K80-K87    ; K80              ; K87            ; ^K8                ; K80-K87 Disorders of gallbladder, biliary tract and pancreas
10   ; 1  ;         ; K90-K93    ; K90              ; K93            ; ^K9                ; K90-K93 Other diseases of the digestive system
10   ; 1  ; XII     ;            ; L00              ; L99            ; ^L                 ; XII: Diseases of the skin and subcutaneous tissue
10   ; 1  ;         ; L00-L08    ; L00              ; L08            ; ^L0                ; L00-L08 Infections of the skin and subcutaneous tissue
10   ; 1  ;         ; L10-L14    ; L10              ; L14            ; ^L1                ; L10-L14 Bullous disorders
10   ; 1  ;         ; L20-L30    ; L20              ; L30            ; ^L(2|3)            ; L20-L30 Dermatitis and eczema
10   ; 1  ;         ; L40-L45    ; L40              ; L45            ; ^L4                ; L40-L45 Papulosquamous disorders
10   ; 1  ;         ; L50-L54    ; L50              ; L54            ; ^L5[0-4]           ; L50-L54 Urticaria and erythema
10   ; 1  ;         ; L55-L59    ; L55              ; L59            ; ^L5[5-9]           ; L55-L59 Radiation-related disorders of the skin and subcutaneous tissue
10   ; 1  ;         ; L60-L75    ; L60              ; L75            ; ^L(6|7)            ; L60-L75 Disorders of skin appendages
10   ; 1  ;         ; L80-L99    ; L80              ; L99            ; ^L(8|9)            ; L80-L99 Other disorders of the skin and subcutaneous tissue
10   ; 1  ; XIII    ;            ; M00              ; M99            ; ^M                 ; XIII: Diseases of the musculoskeletal system and connective tissue
10   ; 1  ;         ; M00-M03    ; M00              ; M03            ; ^M0[0-3]           ; M00-M03 Infectious arthropathies
10   ; 1  ;         ; M05-M14    ; M05              ; M14            ; ^M(0[5-9]|1[0-4])  ; M05-M14 Inflammatory polyarthropathies
10   ; 1  ;         ; M15-M19    ; M15              ; M19            ; ^M1[5-9]           ; M15-M19 Arthrosis
10   ; 1  ;         ; M20-M25    ; M20              ; M25            ; ^M2                ; M20-M25 Other joint disorders
10   ; 1  ;         ; M30-M36    ; M30              ; M36            ; ^M3                ; M30-M36 Systemic connective tissue disorders
10   ; 1  ;         ; M40-M43    ; M40              ; M43            ; ^M4[0-3]           ; M40-M43 Deforming dorsopathies
10   ; 1  ;         ; M45-M49    ; M45              ; M49            ; ^M4[5-9]           ; M45-M49 Spondylopathies
10   ; 1  ;         ; M50-M54    ; M50              ; M54            ; ^M5                ; M50-M54 Other dorsopathies
10   ; 1  ;         ; M60-M63    ; M60              ; M63            ; ^M6[0-3]           ; M60-M63 Disorders of muscles
10   ; 1  ;         ; M65-M68    ; M65              ; M68            ; ^M6[5-8]           ; M65-M68 Disorders of synovium and tendon
10   ; 1  ;         ; M70-M79    ; M70              ; M79            ; ^M7                ; M70-M79 Other soft tissue disorders
10   ; 1  ;         ; M80-M85    ; M80              ; M85            ; ^M8[0-5]           ; M80-M85 Disorders of bone density and structure
10   ; 1  ;         ; M86-M90    ; M86              ; M90            ; ^M(8[6-9]|90)      ; M86-M90 Other osteopathies
10   ; 1  ;         ; M91-M94    ; M91              ; M94            ; ^M9[1-4]           ; M91-M94 Chondropathies
10   ; 1  ;         ; M95-M99    ; M95              ; M99            ; ^M9[5-9]           ; M95-M99 Other disorders of the musculoskeletal system and connective tissue
10   ; 1  ; XIV     ;            ; N00              ; N99            ; ^N                 ; XIV: Diseases of the genitourinary system
10   ; 1  ;         ; N00-N08    ; N00              ; N08            ; ^N0                ; N00-N08 Glomerular diseases
10   ; 1  ;         ; N10-N16    ; N10              ; N16            ; ^N1[0-6]           ; N10-N16 Renal tubulo-interstitial diseases
10   ; 1  ;         ; N17-N19    ; N17              ; N19            ; ^N1[7-9]           ; N17-N19 Renal failure
10   ; 1  ;         ; N20-N23    ; N20              ; N23            ; ^N2[0-3]           ; N20-N23 Urolithiasis
10   ; 1  ;         ; N25-N29    ; N25              ; N29            ; ^N2[5-9]           ; N25-N29 Other disorders of kidney and ureter
10   ; 1  ;         ; N30-N39    ; N30              ; N39            ; ^N3                ; N30-N39 Other diseases of urinary system
10   ; 1  ;         ; N40-N51    ; N40              ; N51            ; ^N(4|5)            ; N40-N51 Diseases of male genital organs
10   ; 1  ;         ; N60-N64    ; N60              ; N64            ; ^N6                ; N60-N64 Disorders of breast
10   ; 1  ;         ; N70-N77    ; N70              ; N77            ; ^N7                ; N70-N77 Inflammatory diseases of female pelvic organs
10   ; 1  ;         ; N80-N98    ; N80              ; N98            ; ^N(8|9[0-8])       ; N80-N98 Noninflammatory disorders of female genital tract
10   ; 1  ;         ; N99-N99    ; N99              ; N99            ; ^N99               ; N99-N99 Other disorders of the genitourinary system
10   ; 1  ; XV      ;            ; O00              ; O99            ; ^O                 ; XV: Pregnancy, childbirth and the puerperium
10   ; 1  ;         ; O00-O08    ; O00              ; O08            ; ^O0                ; O00-O08 Pregnancy with abortive outcome
10   ; 1  ;         ; O10-O16    ; O10              ; O16            ; ^O1                ; O10-O16 Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium
10   ; 1  ;         ; O20-O29    ; O20              ; O29            ; ^O2                ; O20-O29 Other maternal disorders predominantly related to pregnancy
10   ; 1  ;         ; O30-O48    ; O30              ; O48            ; ^O(3|4)            ; O30-O48 Maternal care related to the fetus and amniotic cavity and possible delivery problems
10   ; 1  ;         ; O60-O75    ; O60              ; O75            ; ^O(6|7)            ; O60-O75 Complications of labour and delivery
10   ; 1  ;         ; O80-O84    ; O80              ; O84            ; ^O8[0-4]           ; O80-O84 Delivery
10   ; 1  ;         ; O85-O92    ; O85              ; O92            ; ^O(8[5-9]|9[0-2])  ; O85-O92 Complications predominantly related to the puerperium
10   ; 1  ;         ; O94-O99    ; O94              ; O99            ; ^O9[4-9]           ; O94-O99 Other obstetric conditions, not elsewhere classified
10   ; 1  ; XVI     ;            ; P00              ; P96            ; ^P                 ; XVI: Certain conditions originating in the perinatal period
10   ; 1  ;         ; P00-P04    ; P00              ; P04            ; ^P0[0-4]           ; P00-P04 Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery
10   ; 1  ;         ; P05-P08    ; P05              ; P08            ; ^P0[5-9]           ; P05-P08 Disorders related to length of gestation and fetal growth
10   ; 1  ;         ; P10-P15    ; P10              ; P15            ; ^P1                ; P10-P15 Birth trauma
10   ; 1  ;         ; P20-P29    ; P20              ; P29            ; ^P2                ; P20-P29 Respiratory and cardiovascular disorders specific to the perinatal period
10   ; 1  ;         ; P35-P39    ; P35              ; P39            ; ^P3                ; P35-P39 Infections specific to the perinatal period
10   ; 1  ;         ; P50-P61    ; P50              ; P61            ; ^P(5|6)            ; P50-P61 Haemorrhagic and haematological disorders of fetus and newborn
10   ; 1  ;         ; P70-P74    ; P70              ; P74            ; ^P7[0-4]           ; P70-P74 Transitory endocrine and metabolic disorders specific to fetus and newborn
10   ; 1  ;         ; P75-P78    ; P75              ; P78            ; ^P7[5-8]           ; P75-P78 Digestive system disorders of fetus and newborn
10   ; 1  ;         ; P80-P83    ; P80              ; P83            ; ^P8                ; P80-P83 Conditions involving the integument and temperature regulation of fetus and newborn
10   ; 1  ;         ; P90-P96    ; P90              ; P96            ; ^P9                ; P90-P96 Other disorders originating in the perinatal period
10   ; 1  ; XVII    ;            ; Q00              ; Q99            ; ^Q                 ; XVII: Congenital malformations, deformations and chromosomal abnormalities
10   ; 1  ;         ; Q00-Q07    ; Q00              ; Q07            ; ^Q0                ; Q00-Q07 Congenital malformations of the nervous system
10   ; 1  ;         ; Q10-Q18    ; Q10              ; Q18            ; ^Q1                ; Q10-Q18 Congenital malformations of eye, ear, face and neck
10   ; 1  ;         ; Q20-Q28    ; Q20              ; Q28            ; ^Q2                ; Q20-Q28 Congenital malformations of the circulatory system
10   ; 1  ;         ; Q30-Q34    ; Q30              ; Q34            ; ^Q3[0-4]           ; Q30-Q34 Congenital malformations of the respiratory system
10   ; 1  ;         ; Q35-Q37    ; Q35              ; Q37            ; ^Q3[5-7]           ; Q35-Q37 Cleft lip and cleft palate
10   ; 1  ;         ; Q38-Q45    ; Q38              ; Q45            ; ^Q(3[8-9]|4)       ; Q38-Q45 Other congenital malformations of the digestive system
10   ; 1  ;         ; Q50-Q56    ; Q50              ; Q56            ; ^Q5                ; Q50-Q56 Congenital malformations of genital organs
10   ; 1  ;         ; Q60-Q64    ; Q60              ; Q64            ; ^Q6[0-4]           ; Q60-Q64 Congenital malformations of the urinary system
10   ; 1  ;         ; Q65-Q79    ; Q65              ; Q79            ; ^Q(6[5-9]|7)       ; Q65-Q79 Congenital malformations and deformations of the musculoskeletal system
10   ; 1  ;         ; Q80-Q89    ; Q80              ; Q89            ; ^Q8                ; Q80-Q89 Other congenital malformations
10   ; 1  ;         ; Q90-Q99    ; Q90              ; Q99            ; ^Q9                ; Q90-Q99 Chromosomal abnormalities, not elsewhere classified
10   ; 1  ; XVIII   ;            ; R00              ; R99            ; ^R                 ; XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
10   ; 1  ;         ; R00-R09    ; R00              ; R09            ; ^R0                ; R00-R09 Symptoms and signs involving the circulatory and respiratory systems
10   ; 1  ;         ; R10-R19    ; R10              ; R19            ; ^R1                ; R10-R19 Symptoms and signs involving the digestive system and abdomen
10   ; 1  ;         ; R20-R23    ; R20              ; R23            ; ^R2[0-3]           ; R20-R23 Symptoms and signs involving the skin and subcutaneous tissue
10   ; 1  ;         ; R25-R29    ; R25              ; R29            ; ^R2[5-9]           ; R25-R29 Symptoms and signs involving the nervous and musculoskeletal systems
10   ; 1  ;         ; R30-R39    ; R30              ; R39            ; ^R3                ; R30-R39 Symptoms and signs involving the urinary system
10   ; 1  ;         ; R40-R46    ; R40              ; R46            ; ^R4[0-6]           ; R40-R46 Symptoms and signs involving cognition, perception, emotional state and behaviour
10   ; 1  ;         ; R47-R49    ; R47              ; R49            ; ^R4[7-9]           ; R47-R49 Symptoms and signs involving speech and voice
10   ; 1  ;         ; R50-R69    ; R50              ; R69            ; ^R(5|6)            ; R50-R69 General symptoms and signs
10   ; 1  ;         ; R70-R79    ; R70              ; R79            ; ^R7                ; R70-R79 Abnormal findings on examination of blood, without diagnosis
10   ; 1  ;         ; R80-R82    ; R80              ; R82            ; ^R8[0-2]           ; R80-R82 Abnormal findings on examination of urine, without diagnosis
10   ; 1  ;         ; R83-R89    ; R83              ; R89            ; ^R8[3-9]           ; R83-R89 Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis
10   ; 1  ;         ; R90-R94    ; R90              ; R94            ; ^R9[0-4]           ; R90-R94 Abnormal findings on diagnostic imaging and in function studies, without diagnosis
10   ; 1  ;         ; R95-R99    ; R95              ; R99            ; ^R9[5-9]           ; R95-R99 Ill-defined and unknown causes of mortality
10   ; 1  ; XIX     ;            ; S00              ; T98            ; ^(S|T)             ; XIX: Injury, poisoning and certain other consequences of external causes
10   ; 1  ;         ; S00-S09    ; S00              ; S09            ; ^S0                ; S00-S09 Injuries to the head
10   ; 1  ;         ; S10-S19    ; S10              ; S19            ; ^S1                ; S10-S19 Injuries to the neck
10   ; 1  ;         ; S20-S29    ; S20              ; S29            ; ^S2                ; S20-S29 Injuries to the thorax
10   ; 1  ;         ; S30-S39    ; S30              ; S39            ; ^S3                ; S30-S39 Injuries to the abdomen, lower back, lumbar spine and pelvis
10   ; 1  ;         ; S40-S49    ; S40              ; S49            ; ^S4                ; S40-S49 Injuries to the shoulder and upper arm
10   ; 1  ;         ; S50-S59    ; S50              ; S59            ; ^S5                ; S50-S59 Injuries to the elbow and forearm
10   ; 1  ;         ; S60-S69    ; S60              ; S69            ; ^S6                ; S60-S69 Injuries to the wrist and hand
10   ; 1  ;         ; S70-S79    ; S70              ; S79            ; ^S7                ; S70-S79 Injuries to the hip and thigh
10   ; 1  ;         ; S80-S89    ; S80              ; S89            ; ^S8                ; S80-S89 Injuries to the knee and lower leg
10   ; 1  ;         ; S90-S99    ; S90              ; S99            ; ^S9                ; S90-S99 Injuries to the ankle and foot
10   ; 1  ;         ; T00-T07    ; T00              ; T07            ; ^T0[0-7]           ; T00-T07 Injuries involving multiple body regions
10   ; 1  ;         ; T08-T14    ; T08              ; T14            ; ^T(0[8-9]|1[0-4])  ; T08-T14 Injuries to unspecified part of trunk, limb or body region
10   ; 1  ;         ; T15-T19    ; T15              ; T19            ; ^T1[5-9]           ; T15-T19 Effects of foreign body entering through natural orifice
10   ; 1  ;         ; T20-T25    ; T20              ; T25            ; ^T2[0-5]           ; T20-T25 Burns and corrosions of external body surface, specified by site
10   ; 1  ;         ; T26-T28    ; T26              ; T28            ; ^T2[6-8]           ; T26-T28 Burns and corrosions confined to eye and internal organs
10   ; 1  ;         ; T29-T32    ; T29              ; T32            ; ^T(29|3[0-2])      ; T29-T32 Burns and corrosions of multiple and unspecified body regions
10   ; 1  ;         ; T33-T35    ; T33              ; T35            ; ^T3[3-5]           ; T33-T35 Frostbite
10   ; 1  ;         ; T36-T50    ; T36              ; T50            ; ^T(3[6-9]|4|50)    ; T36-T50 Poisoning by drugs, medicaments and biological substances
10   ; 1  ;         ; T51-T65    ; T51              ; T65            ; ^T(5[1-9]|6[0-5])  ; T51-T65 Toxic effects of substances chiefly nonmedicinal as to source
